Point_time	AUGEVolume	AUGEASTLEVANALOG	AUGWVOLUME	AUGWESTLEVANALOG	ASHREL	SICRESVOLUME	SICRESELEVANALOG	STPALBFLW	RECRESVOLUME	RECRESELEVANALOG	RECREL	NICRESVOLUME	NICRESELEVANALOG	NICNTHFLW	NICSTHFLW	NICCONFLW	EDIRESVOLUME	EDIRESELEVANALOG	EDRNTHFLW	EDRSTHFLW	EDRCONFLW	WDIRESVOLUME	WDIRESELEVANALOG	WDRFLW
01/01/2018	59.94	574	32.67	574.33	10	13.1	1110.44	176.00	48.26	837.34	9.74	29.64	1427.56	35.70	0	0.00	111.39	1261.24	47.60	0.00	0.00	48.8	1113.87	87.50
01/02/2018	59.89	573.99	32.57	574.29	10	12.81	1109.46	189.10	48.17	837.2	9.76	28.92	1425.94	36.10	0	0.00	111.01	1261.01	47.60	0.00	0.00	48.95	1114.00	87.40
01/03/2018	59.89	573.97	32.44	574.24	95	12.71	1109.14	195.30	48.17	837.21	9.74	28.62	1425.26	36.00	0	0.00	110.7	1260.82	47.50	0.00	0.00	49.07	1114.11	87.50
01/04/2018	59.9	573.97	32.22	574.07	11	12.61	1108.77	194.50	48.16	837.2	9.72	28.3	1424.57	36.00	0	0.00	110.59	1260.75	47.50	0.00	0.00	49.21	1114.22	111.20
01/05/2018	59.88	573.99	31.94	573.85	11	12.48	1108.38	193.00	48.17	837.21	9.74	27.99	1423.82	36.00	0	0.00	110.45	1260.66	47.50	0.00	0.00	49.26	1114.28	116.20
01/06/2018	59.89	573.98	31.64	573.46	10	12.35	1107.96	191.90	48.12	837.13	9.75	27.69	1423.12	35.90	0	0.00	110.26	1260.54	47.50	0.00	0.00	49.26	1114.28	179.40
01/07/2018	59.89	573.96	31.37	573.09	10	12.23	1107.59	190.50	47.99	836.94	9.76	27.5	1422.68	35.90	0	0.00	110.06	1260.43	47.50	0.00	0.00	49.26	1114.28	175.20
01/08/2018	59.91	573.97	31.61	572.78	11	12.06	1106.67	226.70	47.79	836.63	9.73	27.53	1422.75	36.00	0	0.00	109.82	1260.27	47.40	0.00	0.00	49.32	1114.35	117.00
01/09/2018	59.89	573.97	31.95	573.05	12	11.87	1106.21	272.50	47.52	836.24	9.71	27.55	1422.8	36.10	0	0.00	109.54	1260.09	47.40	0.00	0.00	49.43	1114.44	87.80
01/10/2018	59.91	573.97	32.2	573.47	12	11.66	1105.71	277.30	47.32	835.94	9.71	27.56	1422.82	36.10	0	0.00	109.2	1259.88	47.90	0.00	0.00	49.55	1114.53	87.90
